SubVertical,total_funding
Retail,30340000.0
Online Furniture Store,30200000.0
Jewellery Etailer,30000000.0
Enterprise Cloud Based Data Processing,30000000.0
Logistics Solutions provider,30000000.0
Online Meat And Seafood Ordering Startup,30000000.0
Online lending Platform,30000000.0
Genomics Research and Diagnostics Solutions,30000000.0
ECommerce Logistics provider,30000000.0
Furnished Home Rental Platform,30000000.0
Online Furniture Rental platform,30000000.0
AI Platform,29500000.0
Online Lending Platform For SME,29000000.0
Payment Gateway,28900000.0
MSME Finance,27799000.0
Electric Vehicle Manufacturer,27000000.0
Gamification Platform to train Sales People,27000000.0
Mobile Games Development Firm,27000000.0
Optimization,26868600.0
Buying Club for Small Businesses,26000000.0
Renewable Energy,26000000.0
Healthcare facilities at doorstep,26000000.0
Mobile analytics and marketing,26000000.0
Online Payment Gateway,25400000.0
ERP solutions provider,25000000.0
Venture Capital,25000000.0
Big Data based analytics platform,25000000.0
Online/ Mobile Tax Cab booking,25000000.0
Digital Media Entertainment Portal,25000000.0
Budget hotels brand & Aggregator Platform,25000000.0
Vernacular content mobile app,25000000.0
End to End health and wellness platform.,25000000.0
Mobile Services Marketplace,24100000.0
Self-driven car booking platform,24000000.0
SaaS,23900000.0
Agricultural Loan,23500000.0
Mobile CRM Platform,23000000.0
Mobile Balance Checking App,23000000.0
Residential Project,23000000.0
Cloud Data Center Solutions provider,23000000.0
Online Women\\xe2\\x80\\x99s Fashion Marketplace,23000000.0
Specialty pharmaceutical,22000000.0
Aggregator For Packaging Material,22000000.0
Super-specialty Hospital,21000000.0
Prosthetics Manufacturers,21000000.0
Home-Based Healthcare provider,21000000.0
SME Online Buying Hub,21000000.0
IT,20400000.0
Financial Services,20000000.0
Online marketplace for automobiles,20000000.0
Automotive,20000000.0
B2B Marketplace for Distributors,20000000.0
Logistics Services and Solutions,20000000.0
Classified Listings platform,20000000.0
Collaborative co-Working Spaces,20000000.0
Cloud Telephony Platform,20000000.0
Health Diagnostic Solutions,19500000.0
Online Real Estate Portal,19500000.0
Data Driven Intelligence Solutions Platform,19000000.0
Auto Insurance,19000000.0
Enterprise Cloud Solutions,19000000.0
Digital payments solutions,18500000.0
Retailer of baby and toddler products,18358860.0
Social,18200000.0
Clean Water Technology,18000000.0
Subscription Billing & Recurring Payments Software,18000000.0
Building automation system,18000000.0
Online Consumer Lending Platform,18000000.0
Adaptive Fraud Intelligence Platform,17500000.0
Financial Services To MSMEs,17411265.0
Online lending platform,17150000.0
Online Medicine,17000000.0
Imaging Technology for Armed Forces,17000000.0
Fresh Food Delivery platform,17000000.0
Online / Mobile Food Ordering platform,16500000.0
SME Lending platform,16000000.0
Connecting Small Town Consumers to E-Commerce,16000000.0
Online learning platform,16000000.0
equipment rental and leasing company,16000000.0
mPOS solutions provider,16000000.0
B2B platform for medical supplies,15800000.0
Brewery,15600000.0
Integrated Enterprise Analytics Platform,15600000.0
Online Travel Agency,15400000.0
E-Books,15109500.0
Contract Management Software Solutions platform,15000000.0
Technology Enabled Logistics Company,15000000.0
Maths Learning program,15000000.0
Celebrity fashion accessories and merchandise,15000000.0
Social Fashion ECommerce Discovery platform,15000000.0
Cloud Based Software Solutions Provider,15000000.0
Trade Finance Firm,15000000.0
Online Food Ordering & Delivery,15000000.0
Online portal for Home Design,15000000.0
\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,15000000.0
Online Preventive Healthcare Platform,15000000.0
Digital Payments platform,15000000.0
Online Travel Search Engine,15000000.0
Online insurance brokerage platform,15000000.0
Mortgage Offering Platform,15000000.0
Mobile balance Checking App,15000000.0
Online Learning platform,15000000.0
On-Demand Beauty Service provider,15000000.0
Online Funds Raising Platform,15000000.0
"Domestic, Commercial, and Industrial Goods Movers",14900000.0
Supplychain Finance,14800000.0
Largest Trucking Platform,14680000.0
Online Indian Car Rental Platform,14270000.0
Iot Application Platform In Agriculture,14000000.0
Safe Driving Data & Analytics platform,13500000.0
Fashion eTailer,13500000.0
Individualised Progressive Learning Program,13500000.0
Budget Room Aggregator Booking platform,13500000.0
Online Insurance Platform,13500000.0
Online Lending platform,13100000.0
Baby & Kids Products Online Flash sales platform,13000000.0
Supply Chain Solutions Provider,13000000.0
Designer-led consumer products,13000000.0
Online Consumer Lending platform,13000000.0
ECommerce Logistics solutions,12500000.0
Cloud-based product discovery platform,12500000.0
Online Beauty products eTailer,12300000.0
Daily Task Management Mobile App,12300000.0
Money Lending platform,12300000.0
Online Tax Filing Platform,12295000.0
SAAS based Service Agreement Management,12250000.0
Online Travel Marketplace,12246000.0
Online Bike Rental Marketplace,12200000.0
Online Pharmacy & Health Marketplace,12000000.0
Enterprise Security Technology platform,12000000.0
Book Trucks Online,12000000.0
Healthcare services,12000000.0
B2B marketplace for Industrial products,12000000.0
Food Solutions For Corporate,12000000.0
Mobile Weight Loss Coach,12000000.0
Online Property Search Portal,12000000.0
Online Marketplace For Resellers,11500000.0
Food Delivery Platform,11500000.0
Online business-to-business (B2B) marketplace,11100000.0
premium dining lounges Chain,11100000.0
Customer data analytics software,11000000.0
Supply Chain,11000000.0
Car Retail,11000000.0
Bus Aggregation Platform,11000000.0
Deals and Discount platform,11000000.0
Fashion e-tailer,10100000.0
Online Meat Ordering platform,10000000.0
Venture Capitalist,10000000.0
Education & learning Tech platform,10000000.0
Truck Network company,10000000.0
Credit-Based Lending Marketplace For Small And Medium Enterprises,10000000.0
Online Certification Courses,10000000.0
Interactive Online Tutoring Platform,10000000.0
On-Demand Delivery Service,10000000.0
"DSP, TV Analytics & Cross-Platform advertising",10000000.0
Fitness,10000000.0
Mobile point of sale services provider,10000000.0
Online Furniture Marketplace,10000000.0
"Genetic Screening, DNA Diagnostics Labs & Research Centers",10000000.0
Direct-to-Farmer Mobile-Based Retail platform,10000000.0
"Consumer Electronics, Home Appliances",10000000.0
Drone Manufacturing,10000000.0
Cloud-Based Enterprise Solutions,10000000.0
Online Spects Platform for Men and Women,10000000.0
Buying portal for SMEs,10000000.0
Online Travel Aggregator,10000000.0
Online travel booking platform,10000000.0
Consumer Leasing Platform,10000000.0
udget hotel marketplace,10000000.0
Online ticket booking platform,10000000.0
Online insurance Portal,10000000.0
Self Drive car and bike rental platform,10000000.0
Peer to peer property listing platform,10000000.0
Property Search Aggregator platform,10000000.0
Online Jon Portal,10000000.0
Platform to take businesses online,10000000.0
On-demand Delivery & Logistics platform,10000000.0
Independent Online Video production company,10000000.0
Online Pharmacy Store,10000000.0
Online travel agent marketplace,10000000.0
"Creative Design, Brand, Media and Technology Platform Solutions",9700000.0
Online Courses and Mentoring from Experts,9500000.0
Ecommerce Portal for Used Goods,9200000.0
Online Motorbike And Scooter Rental Platforms,9100000.0
"Open-market, freight management platform",9000000.0
Self-Driven Car Services booking portal,9000000.0
eCommerce Marketplace,8800000.0
Coaching Services,8600000.0
online marketplace for food and grocery,8500000.0
AI based FinTech platform,8250000.0
Executive Education Provider,8200000.0
Wine,8200000.0
AI Based Solutions Platform,8114811.0
App based shuttle service,8048394.0
Mobile Payments Technology Platform,8000000.0
ECommerce SAAS platform,8000000.0
Fresh Produce SCM company,8000000.0
Women Fashion Portal,8000000.0
Online Fashion Retailer,8000000.0
Online Hotel aggregator & Booking platform,8000000.0
Micro-lending platform,8000000.0
B2B Logistics provider,7700000.0
Travel Packages & Planner marketplace,7700000.0
Mobile Payment Platform,7600000.0
Distance Education Learning Platform,7600000.0
Online Credit score & lending platform,7600000.0
Decision Sciences Analytics Solutions,7500000.0
Online Food Ordering platform/App,7500000.0
Online Stock Broker,7500000.0
Micro Lending Platform,7400000.0
Hemostatic Dressing Solutions,7400000.0
Rental property search portal,7400000.0
Mobile Application for Doctor Consultation,7200000.0
Mobile based Retail Market Ecosystem,7200000.0
Used Furniture & Appliances Marketplace,7050000.0
Fresh Indian Tea Selling Platform across 112 countries,7000000.0
Online fashion rental platform,7000000.0
Online Grocer,7000000.0
App based Logistics & Distribution platform,7000000.0
Restaurant & Hotel CRM platform,7000000.0
Child Learning & Development Platform,7000000.0
Micro-Delivery Grocery Startup,7000000.0
Mobile based learning app,7000000.0
Social Media and Chat Entertainment Platform,7000000.0
Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,7000000.0
hyperlocal Logistics services provider,7000000.0
Online Financial Marketplace,7000000.0
Food Ordering Portal,7000000.0
API Platform,7000000.0
Online Gold Loan,6830000.0
speech recognition startup,6800000.0
Personal Digital Assistant,6700000.0
eCommerce Mobile App Builder,6700000.0
Hyperlocal discovery platform,6600000.0
B2B Foodtech,6590000.0
News and ebooks Mobile App\\xc2\\xa0,6390000.0
QSR chain and online food delivery,6300000.0
Online Retailing,6230000.0
Healthcare Services Aggregator,6200000.0
Fin-Tech Solutions,6100000.0
Women Lingerie Store,6000000.0
Women Apparel & Lifestyle etailer,6000000.0
financial services firm,6000000.0
Online Certification programs,6000000.0
Digital marketing firm,6000000.0
CRM SAAS Platform,6000000.0
Wellness Coach,6000000.0
Craft Beer manufacturing company,6000000.0
Beauty Products Marketplace,6000000.0
Data Driven Advertising platform,6000000.0
Cold Storage Logistics solutions,6000000.0
Hyperlocal Video Information Sharing Platform,6000000.0
Education Sector Lending,6000000.0
Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,6000000.0
SME Marketing Management Solution,6000000.0
Invoice discounting marketplace,6000000.0
Cold pressed Juice maker,6000000.0
Medical Diagnostic Solutions,6000000.0
Fashion Apparel eTailer,6000000.0
SaaS-based web optimisation and marketing platform,6000000.0
Public Transport Mobile App,6000000.0
Health & Fitness App,6000000.0
SAAS DIY\\xc2\\xa0 ECommerce Platform,6000000.0
On-Demand Gadget repair services platform,6000000.0
Mobile based on-demand Beauty Services platform,6000000.0
Online Restaurant Table Reservation Platform,5850000.0
Medical Automation platform,5800000.0
Digital Payments solutions,5800000.0
Smartphone Operating System,5750000.0
Application Performance Acceleration,5600000.0
CSR and sustainability management platform,5500000.0
Women Focussed Digital Media Platform,5500000.0
B2B agri-marketing platform,5500000.0
Online Marketplace For Pharmaceutical Products,5500000.0
Online Fashion Apparel Retailer,5400000.0
On-Demand Beauty Services,5300000.0
Online Education Platform,5250000.0
Payroll & HR Software Developer,5200000.0
Events Ticketing platform,5200000.0
Online marketplace for cars,5150000.0
Cloud based\\xc2\\xa0 health monitoring platform,5000000.0
SaaS-based predictive analytics platform,5000000.0
in-video discovery platform,5000000.0
Education Technology,5000000.0
Private Coaching Classes,5000000.0
Online Grocery portal,5000000.0
Lending Platform For Micro and Small Enterprises,5000000.0
Online furniture rental startup,5000000.0
Cloud based Online Hotel Management Software,5000000.0
B2B commerce Marketplace,5000000.0
Local Language Health Content App,5000000.0
Omni-Channel Platform,5000000.0
Ethnic Products marketplace,5000000.0
Gesture based\\xc2\\xa0 Smartwatch manufacturer,5000000.0
Online/ Mobile Jewellery Retailer,5000000.0
Doctor Patient Communication platform,5000000.0
Online Micro Lending Marketplace,5000000.0
Health and Well being Platform,5000000.0
Non-banking financial company,5000000.0
SAAS ECommerce Retail app,5000000.0
e-surveillance services provider,5000000.0
mobile payment platform,5000000.0
Mobile News Curation App,5000000.0
Bus Aggregation,5000000.0
Local language Mobile OS,5000000.0
Supply Chain Management,5000000.0
Mobile-based Accounting Software,5000000.0
Wearable tech and Internet of Things platform,5000000.0
Online Recruitment Marketplace,5000000.0
Cloud Mobility Solutions,5000000.0
Branded PG Accomodation booking platform,5000000.0
Online Furniture Renting Platform,5000000.0
Online Credit scoring platform,5000000.0
Legal Services to SMEs & Individuals,5000000.0
Personal Finance App,5000000.0
Mobile gaming startup,5000000.0
Mobile Storefront And Commerce Platform For Sellers,5000000.0
Airline Ticket Aggregator,5000000.0
Real Estate Portal,5000000.0
"Online Content Discovery, Creation & Distribution Platform",5000000.0
Hospitality,4889975.0
Cybersecurity Specialist,4800000.0
Online Organic Juice Delivery Service,4800000.0
Health-Tech platform,4750000.0
Asset Based Lending platform,4700000.0
Lending platform for small businesses,4650000.0
Open Source Language for Data Science and Machine Learning,4600000.0
Online rental discovery platform,4600000.0
E-commerce Logistics Platform,4500000.0
Third Party Logistics provider,4500000.0
online restaurant reservation platform,4500000.0
Hyperlocal Handyman services platform,4500000.0
Online Skill Assessment Platform,4500000.0
Education Solutions,4400000.0
Apparel & Lifestyle eTailer,4400000.0
Online Alternative health community platform,4400000.0
E-Publishing,4300000.0
Industrial & Home products marketplace,4200000.0
\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,4200000.0
Doctor-Consultation App,4200000.0
IoT smart Logistics and Asset Management Company,4100000.0
Agri Decision Support Solution for farmers,4000000.0
Professional Health Services Platform,4000000.0
Alternative Lending,4000000.0
Online Marketplace For Mother and Babycare Products,4000000.0
Construction Material ETailer,4000000.0
Adult Products Etailers,4000000.0
IoT & M2M Solutions,4000000.0
Professional Custom creators Marketplace,4000000.0
Enterprise Banking Solutions,4000000.0
Mobile Gaming portal,4000000.0
Online lingerie & Sleepwear etailer,4000000.0
Co-Working,4000000.0
K-12 Maths Learning Courses,4000000.0
Enterprise human resources management platform,4000000.0
Regional Operating System for Smartphones,4000000.0
Healthcare related Services provider,4000000.0
E-commerce Fulfilment Platform,4000000.0
Lending platform for salaried professionals,4000000.0
Real-time Mobile App Management,4000000.0
Online transport vehicle booking platform,4000000.0
Rural E-commerce Platform,4000000.0
Local Language Social Networking Platform,4000000.0
Digital Payment Platform For Beverage Delivery,4000000.0
Holiday & Vacation resort aggregator,4000000.0
Online Instant personal Loan provider,4000000.0
Online Stock Trading Platform,4000000.0
B2B Finance & Fulfilment Network,3800000.0
Virtual Reality based gaming platform,3800000.0
Realty Tech Startup solving real life Interior Designing problems,3800000.0
Online & Mobile based Lending platform,3800000.0
"Mobile Phone Theft, Damage Protection platform",3750000.0
Interactive Tech-Support Guides,3690000.0
Online payment Gateway,3670000.0
Intra-City Logistics provider,3650000.0
IoT based Tech Startup,3600000.0
Lock screen Rewards mobile app,3600000.0
On-Demand Food Delivery,3600000.0
Travel,3591375.0
Dockless Scooter Rental Company,3584000.0
Online eyewear retailer,3500000.0
"Real Estate, ERP",3500000.0
Social Business Incubator & Fund,3500000.0
Banking,3500000.0
Logistics Management Software,3500000.0
Car Tracking & Safety System,3500000.0
Online Medical equipment supplier,3500000.0
Online Home Furnishing Solutions,3450000.0
Digital Documentation,3400000.0
Digital Onboarding Solution,3400000.0
Tech Accessories e-tailer,3350000.0
Invoice discounting platform and SME lending marketplace,3300000.0
Health-Tech Platform,3200000.0
Learning mobile app for students,3200000.0
On Demand Laundry & Dry Cleaning Services,3200000.0
Online Learning Platform,3172000.0
Mobile based Logistics Service,3100000.0
Mobile repair and Refurbishment platform,3100000.0
Home Decor and Online Fashion Portal,3100000.0
Preventive Health Checkup,3100000.0
Online Reseller Network,3100000.0
Digital Media publication for women,3100000.0
app-only lending platform,3100000.0
Digital Entertainment Company,3000000.0
Professional Car Drivers Hiring App,3000000.0
Online Advertising Solutions,3000000.0
New and Used Cars Platform,3000000.0
Banking & Fintech Platform,3000000.0
Online platform for Agricultural products,3000000.0
Workshop Management Software Platform,3000000.0
Post-Purchase Customer Engagement Platform\\xc2\\xa0,3000000.0
Supply-chain technology solutions,3000000.0
Packaging Material Marketplace,3000000.0
Online Raw Meat E-tailer,3000000.0
Unboxed & refurbished electronic products marketplace,3000000.0
Online Investment,3000000.0
Children Education & Information platform,3000000.0
Online Grocery,3000000.0
Supply Chain Equipment & Services provider,3000000.0
B2B marketplace for Farmers & Retailers,3000000.0
Smartphone OS Developer,3000000.0
Software Solutions,3000000.0
Mutual Fund Investment App,3000000.0
WiFi Analytics Platform,3000000.0
Turnkey Solar Solutions,3000000.0
e-learning Platform,3000000.0
Artificial Intelligence,3000000.0
Mobile based Meat ordering App,3000000.0
Transport and logistics mobile App,3000000.0
Health and Fitness Centres,3000000.0
Online Media,3000000.0
Health Test Discovery & Ordering service,3000000.0
Online Marketplace for financial products,3000000.0
Online Car Sharing platform,3000000.0
Lending platform for Salaried professionals,3000000.0
Online Marketplace for Used Cars,3000000.0
Online Scholarship Portal,3000000.0
Savings platform for Medical Expenses,3000000.0
Hyperlocal Delivery Platform,3000000.0
Smart Parking Enabler,3000000.0
SME lending platform,3000000.0
Internet Service Provider,3000000.0
Hyperlocal Discover Mobile App,3000000.0
Photographer Discovery & Information platform,3000000.0
Digital Financial Services Platform,2800000.0
Logistics Intelligence platform,2750000.0
Hybrid Reactor Biodigestor,2739034.0
Home Interior Designing Seller,2700000.0
Online Micro-Lending Platform,2700000.0
Big Data Analytics Platform,2700000.0
Fresh-Produce Distribution Platform,2700000.0
Matchmaking Mobile App,2700000.0
Energy management solutions provider,2600000.0
Solar Energy harnessing products marketplace,2500000.0
Food and Beverages,2500000.0
Primary care medical network,2500000.0
Interior Design & Home D\\xc3\\xa9cor Solutions,2500000.0
Big Data,2500000.0
Digital Entertainment for Children,2500000.0
Data Analytics Firm,2500000.0
Online Doctor Consulting platform,2500000.0
Online food ordering platform,2500000.0
Micro Lending platform,2500000.0
Online Micro Lending Platform,2500000.0
Skill development and vocational training platform,2500000.0
Online Deals & Discount platform,2500000.0
Hyperlocal Grocery Delivery platform,2500000.0
Online Gifting platform,2450000.0
Agri-tech,2449000.0
Fashion and Apparel,2443495.0
Fashion etailer,2400000.0
Next Generation in-building connectivity,2300000.0
Men Grooming product etailer,2300000.0
"""""""Women\\'s Fashion Clothing Online Platform""""""",2300000.0
Online Loan Matchmaking Platform,2300000.0
Online Lending Platform for SME,2300000.0
Salon & Spa Aggregation & Discovery platform,2250000.0
Small Business Loans Marketplace platform,2250000.0
E-Commerce Logistics Solutions,2200000.0
Sports Training & Technology,2200000.0
Security-as-a-Service solution provider,2200000.0
eCommerce,2143000.0
Therapeutics,2100000.0
Software-As-a-Service Platform,2100000.0
Analytics,2100000.0
Agriculture Technology,2000000.0
Tech driven Logistic & distribution platform,2000000.0
Online platform for Higher Education Services,2000000.0
Maritime Solutions,2000000.0
Experience Discovery Platform,2000000.0
Online Investment Banking platform,2000000.0
Online Income Tax Filing platform,2000000.0
Consumer Lending platform,2000000.0
College & Student information platform,2000000.0
Online Fitness Discovey Platform,2000000.0
women focussed customer-to-customer reseller network,2000000.0
Student Micro-financing platform,2000000.0
AI Based Personal Assistant,2000000.0
Student Micro-Loan platform,2000000.0
Budget hotel aggregator,2000000.0
Parenting Info & Social Network,2000000.0
Online Job Portal,2000000.0
Cyber Security solutions using AI,2000000.0
Fin-Tech Platform,2000000.0
Designer Of Toys and Learning Projects For Kids,2000000.0
Treatment Development for Antibiotic-resistant diseases,2000000.0
Online Chai ordering platform,2000000.0
Cold Press Juice manufacturer & seller,2000000.0
Cloud based CRM for Agencies,2000000.0
AI-driven B2B marketing platform,2000000.0
Micro lending company,2000000.0
hyperlocal logistics service,2000000.0
B2B Wholesale Apparel Marketplace,2000000.0
Online Pet Products Store,2000000.0
Agriculture Technology Solutions,2000000.0
Speech Recognition Solutions,2000000.0
Sales Solutions for Fashion Brands,2000000.0
Housing Finance For Low-Income Families,2000000.0
online fashion brand store,2000000.0
Student accommodation platform,2000000.0
Mobile Security App development & Distribution,2000000.0
Online Food Ordering & Delivery Platform,1950000.0
Personal Assistant,1930000.0
Digitized Health-Tech Solutions For Practitioners,1900000.0
B2B Industrial Goods Marketplace,1800000.0
Hotel Aggregator Platform,1800000.0
Embroiled Clothes For Women,1800000.0
Online Job and Career Platform for Women,1800000.0
Gadget Insurance & Repair Services platform,1790000.0
Online loan platform,1768000.0
Video Sharing,1700000.0
Designer consumer products Marketplace,1700000.0
Data Analytics (SaaS),1700000.0
Geospatial Technology-based SaaS solutions,1600000.0
Fuel Delivery,1600000.0
Parenting Network Platform,1580000.0
Online designer jewellery marketplace,1500000.0
Pediatric Primary Healthcare Network,1500000.0
CRM Software for Healthcare space,1500000.0
Online fashion marketplace,1500000.0
Agri-Tech supply chain Solution provider,1500000.0
Enterprise Mobility Solutions,1500000.0
Online Truck aggregator platform,1500000.0
Online Poker Platform,1500000.0
"Sweets, Dry Fruits & Handicrafts etailer",1500000.0
Quick Service Restaurant Chain,1500000.0
Unified Digital Health Platform,1500000.0
Online Platform Selling Indian Tea Globally,1500000.0
Technology,1500000.0
Elearning,1500000.0
customer intelligence and marketing automation platform,1500000.0
School Uniform & Supplies Marketplace,1500000.0
Conversion Rate Optimization Platform,1500000.0
Online Doctor Discovery platform,1500000.0
Subscription-Only News Website,1500000.0
Online Medical Assistance platform,1500000.0
Online Educational courses,1500000.0
Women Healthcare & Information portal,1500000.0
Property Discovery Platform,1500000.0
Subscription based delivery platform,1500000.0
Public and Private Events creation app,1500000.0
peer-to-peer lending platform,1500000.0
online lending platform,1500000.0
on-demand logistics service provider,1500000.0
Bitcoin Wallet,1500000.0
Industrial robots maker,1400000.0
Mobile Accessories etailer,1400000.0
AI-powered deep learning solutions,1400000.0
Online Grocery Store,1400000.0
Health Tests Booking platform & ePharmacy,1400000.0
Video Intelligence platform,1400000.0
Health and fitness based mobile App,1350000.0
Women\xe2\x80\x99s Fashion Apparel eTailer,1350000.0
Real-time Mobile App Management Platform,1350000.0
Loyalty rewards app,1350000.0
Vernacular Language Content Creation & Sharing App,1350000.0
Ready To cook Food Solution,1310000.0
Micro-delivery grocery service,1300000.0
Social gaming platform,1300000.0
Predictive Care Platform,1300000.0
Lending Platform For SMEs,1300000.0
Online Photography platform,1300000.0
Online filing of Tax returns,1300000.0
Virtual Reality Startup,1250000.0
Beauty Services Marketplace,1250000.0
Mobile-First Video Blogging App,1250000.0
Health Service Aggregator Platform,1245000.0
Voice-based assistant platform,1240000.0
Mobile Health Technology Solutions,1200000.0
IoT Based Energy Monitoring & Control,1200000.0
Furniture Rental Platform,1200000.0
Healthcare Software System,1200000.0
Online Counseling Platform,1200000.0
Video Streaming platform,1200000.0
Social Networking platform,1200000.0
Online counselling & Personal coaching platform,1200000.0
Online Doctor Discovery & Chat platform,1200000.0
Mobile-first Enterprise communication platform,1200000.0
Fitness Mobile App,1200000.0
co-working spaces,1200000.0
Online Rental Marketplace,1100000.0
Medical Transportation Services,1100000.0
Software-As-A-Service Platform,1100000.0
Intelligent Sales Prospecting Platform,1100000.0
AI Based Expense Management Platform,1100000.0
An AI Platform Offering Automated Customer Service Software,1100000.0
Mobile & Cloud based App developer,1100000.0
Smart Parking Platform,1100000.0
Online Platform That Sells Direct Plans Of Mutual Funds,1100000.0
Personal Wealth Management Platform & App,1100000.0
M-Commerce Solutions for Retail Stores,1070000.0
Robotic InspectionStartup,1040000.0
Meat Retail Chain,1000000.0
Payroll & Benefits Software solutions,1000000.0
Clothes and Apparel,1000000.0
Platform To Discover Healthcare Financing Options,1000000.0
AI product company For Health and Life Insurane Companies,1000000.0
Mobile App Development company,1000000.0
Online B2B store for office supplies,1000000.0
Cloud ECommerce platform,1000000.0
Online Tutorial Marketplace,1000000.0
Online Tea Etailer,1000000.0
Healthcare Service Provider,1000000.0
Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,1000000.0
Education Workshops & mentoring programs,1000000.0
Online Services,1000000.0
Online custom Shirt retailer,1000000.0
Online Luxury Tea etailer,1000000.0
Pet Products eTailer,1000000.0
Cyber Security Solutions,1000000.0
"smart, energy efficient home appliance manufacturer",1000000.0
App-based investment platform,1000000.0
Deep-technology,1000000.0
